# Per-model stats
model,chamfer_mean,chamfer_median,precision_mean,precision_median,recall_mean,recall_median,fscore_mean,fscore_median
scene_75,3.764049,3.906181,0.15603333333333333,0.14814,0.3531333333333333,0.33908,0.2162116666666667,0.205239
scene_78,0.08167999999999999,0.081506,0.11581333333333334,0.1062,0.26493333333333335,0.26556,0.16086766666666666,0.151724
scene_79,0.13273466666666667,0.138856,0.08008666666666667,0.07602,0.16642,0.16184,0.10810266666666667,0.103448
scene_8,0.325243,0.309812,0.22773333333333334,0.22648,0.43834,0.43054,0.29899366666666666,0.298468
scene_80,0.24195200000000003,0.240602,0.02297333333333333,0.02326,0.03984666666666667,0.03886,0.028916333333333332,0.028977
scene_81,0.07797266666666668,0.079926,0.06236666666666666,0.05424,0.08616,0.0823,0.068978,0.076568
scene_85,0.11039333333333334,0.106768,0.12173333333333332,0.11568,0.2565266666666666,0.24528,0.16441766666666666,0.161723
scene_87,0.23697900000000002,0.239577,0.03308,0.03528,0.039553333333333336,0.04216,0.03553033333333333,0.033898
scene_89,0.057476,0.056313,0.02582,0.02552,0.08971333333333333,0.0949,0.04008233333333333,0.040223
scene_9,0.26223166666666664,0.309184,0.15648666666666666,0.1142,0.15875333333333333,0.11274,0.15758033333333332,0.113465
scene_90,0.4716203333333333,0.412671,0.10301333333333333,0.11596,0.1567,0.1869,0.124239,0.143122
scene_92,3.6608606666666668,3.14406,0.23079333333333332,0.25698,0.42068,0.44828,0.2976216666666667,0.326685
scene_93,0.08947633333333334,0.093349,0.12460666666666669,0.12286,0.22650666666666666,0.23688,0.16067066666666666,0.161801
scene_95,0.19957433333333333,0.201479,0.04695333333333334,0.04608,0.09414666666666667,0.09544,0.06245333333333333,0.062152
scene_96,0.174447,0.198468,0.047306666666666664,0.03448,0.05856,0.03384,0.051428,0.029394
scene_98,0.09201966666666667,0.091451,0.16923999999999997,0.18346,0.3007533333333334,0.33212,0.21658533333333332,0.236358

# Global stats
,chamfer,precision,recall,fscore
mean,1.1673413708333333,0.10704874999999998,0.16605283333333334,0.12673523750000001
median,0.19649650000000002,0.10019,0.13474,0.1149605
