scene,frame,style,method,cosine_sim
scene_101,00000069,oil_painting,destylized_controlnet,0.73877
scene_101,00000069,impressionism,stylized,0.836914
scene_101,00000069,impressionism,destylized_controlnet,0.760254
scene_101,00000069,engraving,stylized,0.569336
scene_101,00000069,engraving,destylized_controlnet,0.425049
scene_102,00000000,watercolor,stylized,0.887207
scene_102,00000000,watercolor,destylized_controlnet,0.882812
scene_102,00000000,oil_painting,stylized,0.877441
scene_102,00000000,oil_painting,destylized_controlnet,0.816895
scene_102,00000000,impressionism,stylized,0.777344
scene_102,00000000,impressionism,destylized_controlnet,0.794434
scene_102,00000000,engraving,stylized,0.793457
scene_102,00000000,engraving,destylized_controlnet,0.700195
scene_102,00000005,watercolor,stylized,0.90918
scene_102,00000005,watercolor,destylized_controlnet,0.878906
scene_102,00000005,oil_painting,stylized,0.90332
scene_102,00000005,oil_painting,destylized_controlnet,0.875488
scene_102,00000005,impressionism,stylized,0.84375
scene_102,00000005,impressionism,destylized_controlnet,0.737305
scene_102,00000005,engraving,stylized,0.591797
scene_102,00000005,engraving,destylized_controlnet,0.458252
scene_102,00000010,watercolor,stylized,0.898926
scene_102,00000010,watercolor,destylized_controlnet,0.683105
scene_102,00000010,oil_painting,stylized,0.933105
scene_102,00000010,oil_painting,destylized_controlnet,0.914062
scene_102,00000010,impressionism,stylized,0.896484
scene_102,00000010,impressionism,destylized_controlnet,0.832031
scene_102,00000010,engraving,stylized,0.711914
scene_102,00000010,engraving,destylized_controlnet,0.489502
scene_102,00000015,watercolor,stylized,0.833008
scene_102,00000015,watercolor,destylized_controlnet,0.708984
scene_102,00000015,oil_painting,stylized,0.901855
scene_102,00000015,oil_painting,destylized_controlnet,0.86084
scene_102,00000015,impressionism,stylized,0.830566
scene_102,00000015,impressionism,destylized_controlnet,0.671875
scene_102,00000015,engraving,stylized,0.780762
scene_102,00000015,engraving,destylized_controlnet,0.655273
scene_102,00000020,watercolor,stylized,0.832031
scene_102,00000020,watercolor,destylized_controlnet,0.839844
scene_102,00000020,oil_painting,stylized,0.895508
scene_102,00000020,oil_painting,destylized_controlnet,0.817383
scene_102,00000020,impressionism,stylized,0.878906
scene_102,00000020,impressionism,destylized_controlnet,0.816406
scene_102,00000020,engraving,stylized,0.81543
scene_102,00000020,engraving,destylized_controlnet,0.731934
scene_102,00000025,watercolor,stylized,0.931152
scene_102,00000025,watercolor,destylized_controlnet,0.839844
scene_102,00000025,oil_painting,stylized,0.978516
scene_102,00000025,oil_painting,destylized_controlnet,0.95459
scene_102,00000025,impressionism,stylized,0.907715
scene_102,00000025,impressionism,destylized_controlnet,0.694336
scene_102,00000025,engraving,stylized,0.641602
scene_102,00000025,engraving,destylized_controlnet,0.533203
